Date,Price,Open,High,Low,Vol.,Change %
28-Jun-16,2036.09,2006.67,2036.09,2006.67,-,1.78%
27-Jun-16,2000.54,2031.45,2031.45,1991.68,-,-1.81%
24-Jun-16,2037.41,2103.81,2103.81,2032.57,-,-3.59%
23-Jun-16,2113.32,2092.80,2113.32,2092.80,-,1.34%
22-Jun-16,2085.45,2089.75,2099.71,2084.36,-,-0.17%
21-Jun-16,2088.90,2085.19,2093.66,2083.02,-,0.27%
20-Jun-16,2083.25,2075.58,2100.66,2075.58,-,0.58%
17-Jun-16,2071.22,2078.20,2078.20,2062.84,-,-0.33%
16-Jun-16,2077.99,2066.36,2079.62,2050.37,-,0.31%
15-Jun-16,2071.50,2077.60,2085.65,2069.80,-,-0.18%
14-Jun-16,2075.32,2076.65,2081.30,2064.10,-,-0.18%
13-Jun-16,2079.06,2091.75,2098.12,2078.46,-,-0.81%
10-Jun-16,2096.07,2109.57,2109.57,2089.96,-,-0.92%
9-Jun-16,2115.48,2115.65,2117.64,2107.73,-,-0.17%
8-Jun-16,2119.12,2112.71,2120.55,2112.71,-,0.33%
7-Jun-16,2112.13,2110.18,2119.22,2110.18,-,0.13%
6-Jun-16,2109.41,2100.83,2113.36,2100.83,-,0.49%
3-Jun-16,2099.13,2104.07,2104.07,2085.36,-,-0.29%
2-Jun-16,2105.26,2097.71,2105.26,2088.59,-,0.28%
1-Jun-16,2099.33,2093.94,2100.97,2085.10,-,0.11%
31-May-16,2096.96,2100.13,2103.48,2088.66,-,-0.10%
27-May-16,2099.06,2090.06,2099.06,2090.06,-,0.43%
26-May-16,2090.10,2091.44,2094.30,2087.08,-,-0.02%
25-May-16,2090.54,2078.93,2094.73,2078.93,-,0.70%
24-May-16,2076.06,2052.65,2079.67,2052.65,-,1.37%
23-May-16,2048.04,2052.23,2055.58,2047.26,-,-0.21%
20-May-16,2052.32,2041.88,2058.35,2041.88,-,0.60%
19-May-16,2040.04,2044.21,2044.21,2025.91,-,-0.37%
18-May-16,2047.63,2044.38,2060.61,2034.49,-,0.02%
17-May-16,2047.21,2065.04,2065.69,2040.82,-,-0.94%
16-May-16,2066.66,2046.53,2071.88,2046.53,-,0.98%
13-May-16,2046.61,2062.50,2066.79,2043.13,-,-0.85%
12-May-16,2064.11,2067.17,2073.99,2053.13,-,-0.02%
11-May-16,2064.46,2083.29,2083.29,2064.46,-,-0.96%
10-May-16,2084.39,2062.63,2084.87,2062.63,-,1.25%
9-May-16,2058.69,2057.55,2064.15,2054.31,-,0.08%
6-May-16,2057.14,2047.77,2057.72,2039.45,-,0.32%
5-May-16,2050.63,2052.95,2060.23,2045.77,-,-0.02%
4-May-16,2051.12,2060.30,2060.30,2045.55,-,-0.59%
3-May-16,2063.37,2077.18,2077.18,2054.89,-,-0.87%
2-May-16,2081.43,2067.17,2083.42,2066.11,-,0.78%
