Date,Open,Close,Volume,Daily_Price_Change,Price_lag1,Vol_lag1,Price_lag2,Vol_lag2,Price_lag3,Vol_lag3,Price_lag4,Vol_lag4,Price_lag5,Vol_lag5
7/23/13,1696.630005,1692.390015,3096180000,-0.002499066,0.000660994,4.71E+12,0.003522784,5.58E+12,0.004949255,5.82E+12,0.001787939,5.30E+12,-0.003827148,5.18E+12
7/24/13,1696.060059,1685.939941,3336120000,-0.005966839,-0.002499066,5.25E+12,0.000660994,4.71E+12,0.003522784,5.58E+12,0.004949255,5.82E+12,0.001787939,5.30E+12
7/25/13,1685.209961,1690.25,3322500000,0.002990748,-0.005966839,5.64E+12,-0.002499066,5.25E+12,0.000660994,4.71E+12,0.003522784,5.58E+12,0.004949255,5.82E+12
7/26/13,1687.310059,1691.650024,2762770000,0.002572121,0.002990748,5.61E+12,-0.005966839,5.64E+12,-0.002499066,5.25E+12,0.000660994,4.71E+12,0.003522784,5.58E+12
7/29/13,1690.319946,1685.329956,2840520000,-0.002952098,0.002572121,4.67E+12,0.002990748,5.61E+12,-0.005966839,5.64E+12,-0.002499066,5.25E+12,0.000660994,4.71E+12
7/30/13,1687.920044,1685.959961,3320530000,-0.001161242,-0.002952098,4.79E+12,0.002572121,4.67E+12,0.002990748,5.61E+12,-0.005966839,5.64E+12,-0.002499066,5.25E+12
7/31/13,1687.76001,1685.72998,3847390000,-0.001202795,-0.001161242,5.60E+12,-0.002952098,4.79E+12,0.002572121,4.67E+12,0.002990748,5.61E+12,-0.005966839,5.64E+12
8/1/13,1689.420044,1706.869995,3775170000,0.010328959,-0.001202795,6.49E+12,-0.001161242,5.60E+12,-0.002952098,4.79E+12,0.002572121,4.67E+12,0.002990748,5.61E+12
8/2/13,1706.099976,1709.670044,3136630000,0.002092532,0.010328959,6.41E+12,-0.001202795,6.49E+12,-0.001161242,5.60E+12,-0.002952098,4.79E+12,0.002572121,4.67E+12
8/5/13,1708.01001,1707.140015,2529300000,-0.000509362,0.002092532,5.36E+12,0.010328959,6.41E+12,-0.001202795,6.49E+12,-0.001161242,5.60E+12,-0.002952098,4.79E+12
8/6/13,1705.790039,1697.369995,3141210000,-0.004936155,-0.000509362,4.32E+12,0.002092532,5.36E+12,0.010328959,6.41E+12,-0.001202795,6.49E+12,-0.001161242,5.60E+12
8/7/13,1695.300049,1690.910034,3010230000,-0.002589521,-0.004936155,5.35E+12,-0.000509362,4.32E+12,0.002092532,5.36E+12,0.010328959,6.41E+12,-0.001202795,6.49E+12
8/8/13,1693.349976,1697.47998,3271660000,0.002438955,-0.002589521,5.10E+12,-0.004936155,5.35E+12,-0.000509362,4.32E+12,0.002092532,5.36E+12,0.010328959,6.41E+12
8/9/13,1696.099976,1691.420044,2957670000,-0.002759231,0.002438955,5.55E+12,-0.002589521,5.10E+12,-0.004936155,5.35E+12,-0.000509362,4.32E+12,0.002092532,5.36E+12
8/12/13,1688.369995,1689.469971,2789160000,0.000651502,-0.002759231,5.01E+12,0.002438955,5.55E+12,-0.002589521,5.10E+12,-0.004936155,5.35E+12,-0.000509362,4.32E+12
8/13/13,1690.650024,1694.160034,3035560000,0.00207613,0.000651502,4.71E+12,-0.002759231,5.01E+12,0.002438955,5.55E+12,-0.002589521,5.10E+12,-0.004936155,5.35E+12
8/14/13,1693.880005,1685.390015,2871430000,-0.005012156,0.00207613,5.14E+12,0.000651502,4.71E+12,-0.002759231,5.01E+12,0.002438955,5.55E+12,-0.002589521,5.10E+12
8/15/13,1679.609985,1661.319946,3426690000,-0.010889456,-0.005012156,4.85E+12,0.00207613,5.14E+12,0.000651502,4.71E+12,-0.002759231,5.01E+12,0.002438955,5.55E+12
8/16/13,1661.219971,1655.829956,3211450000,-0.003244612,-0.010889456,5.72E+12,-0.005012156,4.85E+12,0.00207613,5.14E+12,0.000651502,4.71E+12,-0.002759231,5.01E+12
8/19/13,1655.25,1646.060059,2904530000,-0.005551996,-0.003244612,5.33E+12,-0.010889456,5.72E+12,-0.005012156,4.85E+12,0.00207613,5.14E+12,0.000651502,4.71E+12
8/20/13,1646.810059,1652.349976,2994090000,0.003364029,-0.005551996,4.79E+12,-0.003244612,5.33E+12,-0.010889456,5.72E+12,-0.005012156,4.85E+12,0.00207613,5.14E+12
8/21/13,1650.660034,1642.800049,2932180000,-0.004761722,0.003364029,4.94E+12,-0.005551996,4.79E+12,-0.003244612,5.33E+12,-0.010889456,5.72E+12,-0.005012156,4.85E+12
8/22/13,1645.030029,1656.959961,2537460000,0.007252106,-0.004761722,4.83E+12,0.003364029,4.94E+12,-0.005551996,4.79E+12,-0.003244612,5.33E+12,-0.010889456,5.72E+12
8/23/13,1659.920044,1663.5,2582670000,0.002156704,0.007252106,4.19E+12,-0.004761722,4.83E+12,0.003364029,4.94E+12,-0.005551996,4.79E+12,-0.003244612,5.33E+12
8/26/13,1664.290039,1656.780029,2430670000,-0.004512441,0.002156704,4.29E+12,0.007252106,4.19E+12,-0.004761722,4.83E+12,0.003364029,4.94E+12,-0.005551996,4.79E+12
8/27/13,1652.540039,1630.47998,3219190000,-0.013349183,-0.004512441,4.04E+12,0.002156704,4.29E+12,0.007252106,4.19E+12,-0.004761722,4.83E+12,0.003364029,4.94E+12
8/28/13,1630.25,1634.959961,2784010000,0.002889104,-0.013349183,5.28E+12,-0.004512441,4.04E+12,0.002156704,4.29E+12,0.007252106,4.19E+12,-0.004761722,4.83E+12
8/29/13,1633.5,1638.170044,2527550000,0.002858919,0.002889104,4.55E+12,-0.013349183,5.28E+12,-0.004512441,4.04E+12,0.002156704,4.29E+12,0.007252106,4.19E+12
8/30/13,1638.890015,1632.969971,2734300000,-0.003612228,0.002858919,4.13E+12,0.002889104,4.55E+12,-0.013349183,5.28E+12,-0.004512441,4.04E+12,0.002156704,4.29E+12
9/3/13,1635.949951,1639.77002,3731610000,0.002335077,-0.003612228,4.47E+12,0.002858919,4.13E+12,0.002889104,4.55E+12,-0.013349183,5.28E+12,-0.004512441,4.04E+12
9/4/13,1640.719971,1653.079956,3312150000,0.007533269,0.002335077,6.11E+12,-0.003612228,4.47E+12,0.002858919,4.13E+12,0.002889104,4.55E+12,-0.013349183,5.28E+12
9/5/13,1653.280029,1655.079956,2957110000,0.001088701,0.007533269,5.45E+12,0.002335077,6.11E+12,-0.003612228,4.47E+12,0.002858919,4.13E+12,0.002889104,4.55E+12
